0,1.38676,1.38676,1.38676,1.38676,0,1.38686,1.38687,1.38686,1.38687,0
2000,1.38675,1.38675,1.38675,1.38675,0,1.38688,1.38688,1.38688,1.38688,0
9000,1.38673,1.38674,1.38673,1.38674,0,1.38687,1.38687,1.38687,1.38687,0
10000,1.38674,1.38674,1.38674,1.38674,0,1.38686,1.38686,1.38686,1.38686,0
12000,1.38673,1.38673,1.38673,1.38673,0,1.38686,1.38686,1.38685,1.38685,0
13000,1.38673,1.38673,1.38671,1.38671,0,1.38683,1.38683,1.38683,1.38683,0
14000,1.38672,1.38672,1.38672,1.38672,0,1.38682,1.38682,1.38682,1.38682,0
15000,1.38673,1.38673,1.38673,1.38673,0,1.38682,1.38682,1.38682,1.38682,0
16000,1.38671,1.38671,1.38671,1.38671,0,1.38684,1.38684,1.38684,1.38684,0
17000,1.38671,1.38671,1.38671,1.38671,0,1.38682,1.38682,1.38682,1.38682,0
20000,1.38670,1.38670,1.38670,1.38670,0,1.38682,1.38682,1.38682,1.38682,0
22000,1.38671,1.38672,1.38671,1.38672,0,1.38682,1.38682,1.38681,1.38681,0
23000,1.38671,1.38671,1.38671,1.38671,0,1.38682,1.38682,1.38682,1.38682,0
33000,1.38669,1.38671,1.38669,1.38671,0,1.38682,1.38682,1.38680,1.38680,0
36000,1.38671,1.38671,1.38671,1.38671,0,1.38681,1.38681,1.38681,1.38681,0
37000,1.38670,1.38673,1.38670,1.38673,0,1.38682,1.38686,1.38682,1.38686,0
38000,1.38676,1.38676,1.38676,1.38676,0,1.38688,1.38688,1.38688,1.38688,0
39000,1.38677,1.38677,1.38676,1.38677,0,1.38688,1.38689,1.38688,1.38688,0
42000,1.38678,1.38678,1.38678,1.38678,0,1.38690,1.38690,1.38690,1.38690,0
44000,1.38679,1.38679,1.38678,1.38678,0,1.38689,1.38690,1.38689,1.38690,0
51000,1.38680,1.38680,1.38680,1.38680,0,1.38691,1.38691,1.38691,1.38691,0
52000,1.38682,1.38682,1.38682,1.38682,0,1.38692,1.38692,1.38692,1.38692,0
54000,1.38681,1.38681,1.38681,1.38681,0,1.38694,1.38694,1.38694,1.38694,0
56000,1.38683,1.38683,1.38683,1.38683,0,1.38695,1.38695,1.38695,1.38695,0
58000,1.38683,1.38684,1.38683,1.38684,0,1.38697,1.38697,1.38697,1.38697,0
59000,1.38686,1.38686,1.38686,1.38686,0,1.38696,1.38697,1.38696,1.38697,0
60000,1.38688,1.38688,1.38686,1.38686,0,1.38700,1.38700,1.38699,1.38700,0
63000,1.38688,1.38688,1.38688,1.38688,0,1.38699,1.38699,1.38699,1.38699,0
64000,1.38686,1.38686,1.38686,1.38686,0,1.38699,1.38699,1.38699,1.38699,0
66000,1.38687,1.38687,1.38687,1.38687,0,1.38697,1.38699,1.38697,1.38699,0
67000,1.38688,1.38688,1.38688,1.38688,0,1.38698,1.38698,1.38698,1.38698,0
76000,1.38687,1.38687,1.38687,1.38687,0,1.38699,1.38699,1.38699,1.38699,0
83000,1.38685,1.38685,1.38685,1.38685,0,1.38697,1.38697,1.38697,1.38697,0
84000,1.38685,1.38686,1.38685,1.38686,0,1.38698,1.38698,1.38698,1.38698,0
85000,1.38685,1.38685,1.38685,1.38685,0,1.38698,1.38698,1.38698,1.38698,0
93000,1.38685,1.38685,1.38685,1.38685,0,1.38697,1.38697,1.38697,1.38697,0
105000,1.38685,1.38685,1.38685,1.38685,0,1.38696,1.38698,1.38696,1.38698,0
120000,1.38686,1.38686,1.38686,1.38686,0,1.38698,1.38698,1.38698,1.38698,0
133000,1.38686,1.38687,1.38686,1.38687,0,1.38697,1.38697,1.38697,1.38697,0
134000,1.38686,1.38686,1.38686,1.38686,0,1.38697,1.38697,1.38697,1.38697,0
150000,1.38688,1.38688,1.38688,1.38688,0,1.38700,1.38700,1.38700,1.38700,0
164000,1.38690,1.38690,1.38688,1.38689,0,1.38700,1.38702,1.38700,1.38702,0
184000,1.38689,1.38689,1.38688,1.38688,0,1.38700,1.38701,1.38700,1.38701,0
185000,1.38687,1.38687,1.38687,1.38687,0,1.38699,1.38699,1.38699,1.38699,0
186000,1.38688,1.38688,1.38688,1.38688,0,1.38697,1.38697,1.38697,1.38697,0
187000,1.38687,1.38687,1.38687,1.38687,0,1.38698,1.38698,1.38698,1.38698,0
188000,1.38685,1.38686,1.38685,1.38686,0,1.38697,1.38697,1.38696,1.38696,0
220000,1.38686,1.38686,1.38686,1.38686,0,1.38698,1.38698,1.38698,1.38698,0
221000,1.38685,1.38685,1.38685,1.38685,0,1.38698,1.38698,1.38697,1.38697,0
240000,1.38684,1.38684,1.38684,1.38684,0,1.38695,1.38695,1.38695,1.38695,0
248000,1.38683,1.38683,1.38683,1.38683,0,1.38695,1.38695,1.38695,1.38695,0
249000,1.38682,1.38682,1.38682,1.38682,0,1.38696,1.38696,1.38696,1.38696,0
250000,1.38683,1.38683,1.38683,1.38683,0,1.38694,1.38694,1.38693,1.38693,0
251000,1.38685,1.38685,1.38685,1.38685,0,1.38692,1.38692,1.38692,1.38692,0
253000,1.38684,1.38684,1.38684,1.38684,0,1.38693,1.38693,1.38693,1.38693,0
267000,1.38685,1.38685,1.38684,1.38684,0,1.38692,1.38693,1.38692,1.38693,0
269000,1.38685,1.38685,1.38685,1.38685,0,1.38692,1.38692,1.38692,1.38692,0
279000,1.38684,1.38684,1.38684,1.38684,0,1.38693,1.38693,1.38693,1.38693,0
304000,1.38683,1.38683,1.38681,1.38681,0,1.38693,1.38693,1.38692,1.38692,0
306000,1.38682,1.38682,1.38679,1.38681,0,1.38691,1.38691,1.38690,1.38690,0
307000,1.38679,1.38679,1.38672,1.38674,0,1.38689,1.38690,1.38686,1.38686,0
314000,1.38674,1.38674,1.38674,1.38674,0,1.38685,1.38685,1.38685,1.38685,0
341000,1.38675,1.38675,1.38675,1.38675,0,1.38687,1.38687,1.38687,1.38687,0
342000,1.38676,1.38676,1.38676,1.38676,0,1.38686,1.38686,1.38686,1.38686,0
387000,1.38674,1.38674,1.38674,1.38674,0,1.38686,1.38686,1.38686,1.38686,0
392000,1.38675,1.38675,1.38674,1.38674,0,1.38685,1.38686,1.38685,1.38686,0
394000,1.38673,1.38673,1.38673,1.38673,0,1.38686,1.38686,1.38686,1.38686,0
396000,1.38673,1.38674,1.38673,1.38674,0,1.38685,1.38685,1.38685,1.38685,0
397000,1.38675,1.38675,1.38675,1.38675,0,1.38684,1.38684,1.38684,1.38684,0
398000,1.38672,1.38672,1.38666,1.38666,0,1.38684,1.38684,1.38678,1.38678,0
402000,1.38666,1.38666,1.38666,1.38666,0,1.38679,1.38679,1.38679,1.38679,0
